Tаблица 1
city;school_name;full_school_name;email;Consorcium;Peterson;Sirius
Апатиты;МБОУ СОШ № 10 Апатиты;Муниципальное бюджетное образовательное учреждение города Апатиты «Средняя общеобразовательная школа № 10» Мурманской области;school10-apatity@bk.ru;0;1;0
Апатиты;МБОУ СОШ № 14 Апатиты;Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 14» города Апатиты Мурманской области;school14-apatity@bk.ru;0;1;0
Арсеньев;"МОБУ ""Гимназия №7""";Муниципальное общеобразовательное бюджетное учреждение «Гимназия № 7» Арсеньевского городского округа Приморского края;arcgimnazia_7@mail.ru;0;1;0
Арсеньев;МОБУ СОШ № 4;Муниципальное общеобразовательное бюджетное учреждение «Средняя общеобразовательная школа № 4» Арсеньевского городского округа Приморского края;arsschool_4@bk.ru;0;1;0
Астрахань;МБОУ Астрахани «Гимназия № 1»;Муниципальное бюджетное общеобразовательное учреждение города Астрахани «Гимназия №1»;gimn-1@astrobl.ru;0;1;0
Астрахань;МБОУ Астрахани «Лицей № 1»;Муниципальное бюджетное общеобразовательное учреждение города Астрахани «Лицей №1»;"lyc-1@astrobl.ru
astrlitsey1@mail.ru";0;1;0
Астрахань;МБОУ Астрахани «НОШ №19»;Муниципальное бюджетное общеобразовательное учреждение «Начальная общеобразовательная школа № 19» города Астрахани;8512334500@platforma.school;0;1;0
Балаково;МАОУ СОШ №27;Муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа №27 с углубленным изучением отдельных предметов» Балаково Саратовской области;balakovo.school.27@mail.ru;1;0;0
Балашиха;МАОУ СОШ №5;Муниципальное автономное общеобразовательное учреждение городского округа Балашиха «Средняя общеобразовательная школа № 5» Балашихи Московской области;blsh_school5@mosreg.ru;0;1;0
Белгород;"МБОУ ""Лицей №10""";Муниципальное бюджетное общеобразовательное учреждение «Лицей №10» города Белгорода;school10@beluo31.ru;0;1;0
Белоозерский;МОУ «Лицей № 23»;Муниципальное общеобразовательное учреждение «Лицей № 23» Белоозёрского г.о. Воскресенск Московской области;vosk_moulic23@mosreg.ru;0;1;0
Бердигестях;МБОУ «БСОШ с УИОП им. С.П. Данилова»;"Муниципальное бюджетное общеобразовательное учреждение Бердигестяхская средняя общеобразовательная школа им. С.П. Данилова с. Бердигестях муниципального района «Горный улус» Республики Саха (Якутия);";gorn_bsoshspd@gov14.ru;0;1;0
Березники;"МАОУ ""Школа № 24 им. Ю.А. Гагарина""";Муниципальное автономное общеобразовательное учреждение «Школа № 24 имени Ю.А. Гагарина» города Березники Пермского края;school24gagarina@mail.ru;0;1;0
Березники;МАОУ гимназия №9;Муниципальное автономное образовательное учреждение «Гимназия № 9» города Березники Пермского края;gimnaziya9-brz@sosh.permkrai.ru;0;1;0
Бишкек;НО ОФ «Школа Газпром Кыргызстан»;Некоммерческая организация Общественный фонд «Школа Газпром Кыргызстан»;office@sgp.kg;1;0;0
Большое Исаково;"МБОУ СОШ ""Школа будущего""";Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа «Школа будущего»;isakovo-shkola@yandex.ru;1;0;0
Борисоглебск;МБОУ БГО СОШ №4;Муниципальное бюджетное общеобразовательное учреждение Борисоглебского городского округа средняя общеобразовательная школа № 4;;0;1;0
Братск;"МБОУ ""Гимназия № 1 им. А.А.Иноземцева""";Муниципальное бюджетное общеобразовательное учреждение «Гимназия № 1 имени Алексея Александровича Иноземцева» города Братска Иркутской области;gym1bratsk@yandex.ru;0;1;0
Братск;"МБОУ ""СОШ № 14"" ";Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 14» города Братска Иркутской области;brsch14@yandex.ru;0;1;0
Братск;"МБОУ ""СОШ № 3""";Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 3» муниципального образования города Братска Иркутской области;edu_komitet@bratsk-city.ru;0;1;0
Братск;"МБОУ ""СОШ № 42"" МО Братска";Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 42» муниципального образования города Братска Иркутской области;school42.bratsk@yandex.ru;0;1;0
Братск;МБОУ «СОШ № 16»;Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 16» муниципального образования города Братска Иркутской области;valpi@mail.ru;0;1;0
Братск;ЧОУ «Братская Православная гимназия»;"Частное общеобразовательное учреждение «Православная гимназия во имя святителя Иннокентия (Вениаминова), митрополита Московского» города Братска Иркутской области;";gimnazia-br@yandex.ru;0;1;0
Булгаково;"МОБУ Школа ""Взлетай"" с. Булгаково";Муниципальное общеобразовательное бюджетное учреждение Школа «Взлетай» села Булгаково муниципального района Уфимский район Республики Башкортостан;;0;1;0
Великий Новгород;"ГОАОУ ""Гимназия № 3""";"Государственное областное автономное общеобразовательное учреждение ""Гимназия №3""";inbox@gimnazium.ru;1;0;0
Великий Новгород;"МАОУ ""Школа № 36""";"Муниципальное автономное общеобразовательное учреждение ""Средняя школа № 36 имени Гавриила Романовича Державина""";school36vnov@3653.ru;1;0;0
Вимовец;МБОУ СОШ № 16;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 16 имени Героя Социалистического Труда Н.М. Батохина пос. Вимовец муниципального образования Усть-Лабинский район Краснодарского края;labinsk@mo.krasnodar.ru;0;1;0
Владикавказ;ГБОУ «Центр образования «Эрудит»;Государственное бюджетное общеобразовательное учреждение «Центр образования «Эрудит» города Владикавказа Республики Северная Осетия – Алания;erudit@mon.alania.gov.ru;0;1;0
Владимир;"МАОУ ""Гимназия №73""";Муниципальное автономное общеобразовательное учреждение города Владимира «Гимназия № 73»;progimnasya73@mail.ru;0;1;0
Владимир;"МБОУ ""СОШ №19""";Муниципальное бюджетное общеобразовательное учреждение города Владимира «Средняя общеобразовательная школа № 19»;;0;1;0
Владимир;ООО «Школа будущего»;Общество с ограниченной ответственностью «Школа будущего» города Владимира;shkola-budushego@mail.ru;0;1;0
Власиха;МОУ СОШ им. А.С. Попова городского округа Власиха;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа имени А.С. Попова городского округа Власиха Московской области;vlas_sosh_popova@mosreg.ru;0;1;0
Воронеж;"МБОУ ""Лицей №1""";Муниципальное бюджетное общеобразовательное учреждение «Лицей №1» города Воронежа; lyceum1@govvrn.ru;0;1;0
Воронеж;"МБОУ ""СОШ №101""";Государственное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 101» городского округа город Воронеж;school101@govvrn.ru;0;1;0
Воронеж;"МБОУ “Образовательный центр ""Траектория”";Муниципальное бюджетное общеобразовательное учреждение «Образовательный центр «Траектория» города Воронежа;edutrajectory@govvrn.ru;0;1;0
Воронеж;МБОУ Лицей №7;Муниципальное бюджетное общеобразовательное учреждение лицей № 7 города Воронежа;lyceum7@govvrn.ru;0;1;0
Воронеж;"МБОУ Образовательный центр ""Содружество""";Муниципальное бюджетное общеобразовательное учреждение Образовательный центр «Содружество» города Воронежа;obrazov.center@govvrn.ru;0;1;0
Воскресенск;"МОУ ""Лицей им. Стрельцова П. В.""";Муниципальное общеобразовательное учреждение «Лицей имени Героя Советского Союза Стрельцова Павла Васильевича» городского округа Воскресенск Московской области;vosk_moulic22@mosreg.ru;0;1;0
Всеволожск;МОБУ «Муринская СОШ № 8»;Муниципальное общеобразовательное бюджетное учреждение «Муринская средняя общеобразовательная школа № 8»;mur8@vsevobr.ru;1;0;0
Вятские Поляны;Вятский многопрофильный лицей;Кировское областное государственное общеобразовательное автономное учреждение Вятский многопрофильный лицей города Вятские Поляны Кировской области;info@vplicei.org;0;1;0
Вятские Поляны;МКОУ «Лицей с кадетскими классами имени Г.С.Шпагина»;Муниципальное казенное общеобразовательное учреждение «Лицей с кадетскими классами имени Г.С. Шпагина» города Вятские Поляны Кировской области;sch2_vp@mail.ru;0;1;0
Гусь-Хрустальный;МБОУ СОШ № 10;Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 10» города Гусь-Хрустального Владимирской области;schoo10@yandex.ru;0;1;0
Димитровград;"ОГАУО «Лицей ядерных технологий» при НИЯУ МИФИ""";Областное государственное автономное общеобразовательное учреждение «Лицей ядерных технологий» при ФГАОУ ВО «Национальный исследовательский ядерный университет «МИФИ» (ОГАОУ «Лицей ядерных технологий» при НИЯУ «МИФИ») города Димитровграда Ульяновской области;liceydd@mail.ru;0;1;0
Дмитров;МОУ «гимназия «Дмитров»;Муниципальное общеобразовательное учреждение «гимназия «Дмитров» города Дмитрова Московской области;dmit_gimdm@mosreg.ru;0;1;0
Дмитров;МОУ «Инженерная школа Дмитрова»;Муниципальное общеобразовательное учреждение «Инженерная школа города Дмитрова»;BrazhnikovaNaP@mosreg.ru;1;0;0
Долгопрудный;"АНО ДО ""Юные Академики""";Автономную некоммерческую общеобразовательную организацию «Школа «Академика» г.о. город Долгопрудный Московской области;;0;1;0
Долгопрудный;МАОУ лицей № 5;Муниципальное автономное общеобразовательное учреждение городского округа Долгопрудный Московской области физико-математический лицей № 5;dolg_sch05@mosreg.ru;0;1;0
Долгопрудный;МАОУ СОШ № 6;Муниципальное автономное общеобразовательное учреждение городского округа Долгопрудный средняя общеобразовательная школа № 6 имени Героя Советского Союза Н.Ф. Гастелло городского округа Долгопрудный Московской области;dolg_sch06@mosreg.ru;0;1;0
Долгопрудный;"ОАНО ""Физтех-начало""";ОАНО «Физтех-начало» города Долгопрудного Московской области и АНОО «Физтех-лицей» им. П.Л. Капицы города Долгопрудного Московской области;info@jftl.ru;0;1;0
Домодедово;МАОУ «Домодедовский образовательный комплекс «Вертикаль»»;Муниципальное автономное общеобразовательное учреждение Заревская средняя общеобразовательная школа с углубленным изучением отдельных предметов с. Растуново городского округа Домодедово Московской области;dmdd_bb_sosh@mosreg.ru;0;1;0
